what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716928913
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333716935386
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333716942249
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716943639
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716955667
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333716957318
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333716980962
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717069279
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333717071345
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333717076004
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717079582
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717211557
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717216708
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717218052
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717222980
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717229823
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717237182
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717240922
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717245751
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717271917
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717274171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717279736
activated,editor,org.python.pydev,2.4.0.2012020116,"org.python.pydev.editor.PythonEditor",1333717282526
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717335098
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717404254
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333717412111
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1333717415346
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717443676
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717528173
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.moveLineUp",1333717545476
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717549965
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717648126
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1333717658523
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1333717663572
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1333717673984
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1333717689208
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1333717689393
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1333717689593
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1333717689786
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1333717698702
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717709574
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1333717739977
